"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
5.5,-0.04116,0.0937533333333,1.87893070988
5.55,-0.0334425,0.184076666667,1.38216296296
5.6,-0.0217805,0.244959166667,0.584635030864
5.65,-0.006517,0.25039,-0.370154166667
5.7,0.0056595,0.200464444444,-1.17509259259
5.75,0.0145775,0.120240555556,-1.69028070988
5.8,0.018522,0.0194366666667,-1.89279891975
5.85,0.0166355,-0.0831775,-1.74686512346
5.9,0.0094325,-0.167593611111,-1.29980061728
5.95,-0.001372,-0.221711388889,-0.63497345679
6,-0.014406,-0.234764444444,0.13550617284
6.05,-0.0262395,-0.209992222222,0.935310185185
6.1,-0.037387,-0.138533888889,1.6337492284
6.15,-0.0416745,-0.0319180555556,1.98167191358
6.2,-0.040817,0.0805097222222,1.85505833333
6.25,-0.032585,0.170547222222,1.32758996914
6.3,-0.021952,0.219234166667,0.619305555556
6.35,-0.0094325,0.233621111111,-0.138629166667
6.4,0.003087,0.205990555556,-0.888677006173
6.45,0.0128625,0.138724444444,-1.48321033951
6.5,0.0180075,0.0456380555556,-1.79339243827
6.55,0.0176645,-0.0542130555556,-1.77227253086
6.6,0.0121765,-0.143869444444,-1.44615787037
6.65,0.0022295,-0.208467777778,-0.874861728395
6.7,-0.0101185,-0.236955833333,-0.149321450617
6.75,-0.0228095,-0.228285555556,0.673402160494
6.8,-0.0351575,-0.169118055556,1.4535683642
6.85,-0.041503,-0.0688858333333,1.91540092593
6.9,-0.042189,0.0389686111111,1.97362623457
6.95,-0.03773,0.145584444444,1.61517006173
7,-0.026068,0.216375833333,0.896458024691
7.05,-0.0138915,0.2375275,0.0899316358025
7.1,-0.001029,0.222283055556,-0.663609722222
7.15,0.009947,0.167307777778,-1.30101805556
7.2,0.0169785,0.0825105555556,-1.69927916667
7.25,0.0186935,-0.0153397222222,-1.79106342593
7.3,0.0152635,-0.1089025,-1.5778
7.35,0.0070315,-0.183790833333,-1.09611790123
7.4,-0.004459,-0.225617777778,-0.426050462963
7.45,-0.016807,-0.232287222222,0.369889506173
7.5,-0.029841,-0.189221666667,1.15190833333
7.55,-0.0375585,-0.104805555556,1.6636558642
7.6,-0.0406455,-0.00762222222222,1.81869398148
7.65,-0.0382445,0.0883225,1.66265015432
7.7,-0.031556,0.172738611111,1.17207546296
7.75,-0.019208,0.217328611111,0.424621296296
7.8,-0.0077175,0.213898611111,-0.322938734568
7.85,0.0032585,0.179312777778,-0.950184104938
7.9,0.0114905,0.113285277778,-1.41948009259
7.95,0.015435,0.0275352777778,-1.6423242284
8,0.014406,-0.0626927777778,-1.57658256173
8.05,0.0087465,-0.141963888889,-1.22040246914
8.1,-0.0008575,-0.1946525,-0.6302625
8.15,-0.012348,-0.20923,0.0688117283951
8.2,-0.023324,-0.185505833333,0.735068055556
8.25,-0.031899,-0.133103055556,1.31927962963
8.3,-0.038073,-0.0477341666667,1.72188117284
8.35,-0.0375585,0.0552611111111,1.74130725309
8.4,-0.0320705,0.1466325,1.31054583333
8.45,-0.0210945,0.198463611111,0.591992592593
8.5,-0.01029,0.204847222222,-0.145245679012
8.55,0.0005145,0.179312777778,-0.786782716049
8.6,0.008918,0.121765,-1.29567191358
8.65,0.01372,0.0407788888889,-1.57483580247
8.7,0.013377,-0.0487822222222,-1.54821095679
8.75,0.008232,-0.1260525,-1.22527222222
8.8,-0.0001715,-0.178836388889,-0.699815277778
8.85,-0.010633,-0.204180277778,-0.00439336419753
8.9,-0.022981,-0.17836,0.677530864198
8.95,-0.0293265,-0.127005277778,1.17133441358
9,-0.0361865,-0.0581194444444,1.53804799383
9.05,-0.0365295,0.0367772222222,1.63639583333
9.1,-0.032242,0.124528055556,1.32160864198
9.15,-0.022638,0.181599444444,0.711989660494
9.2,-0.012348,0.197510833333,0.026413117284
9.25,-0.001715,0.181599444444,-0.606813580247
9.3,0.007203,0.132150277778,-1.11734367284
9.35,0.012348,0.0614541666667,-1.42207376543
9.4,0.01372,-0.0190555555556,-1.49824305556
9.45,0.0104615,-0.0986125,-1.32340833333
9.5,0.003087,-0.160733611111,-0.917419135802
9.55,-0.0066885,-0.195986388889,-0.353162962963
9.6,-0.017493,-0.202560555556,0.347763888889
9.65,-0.0289835,-0.163020277778,1.06107685185
9.7,-0.0355005,-0.0850830555556,1.52894367284
9.75,-0.03773,0.00371583333333,1.67074876543
9.8,-0.0351575,0.0928005555556,1.51512839506
9.85,-0.028126,0.169403888889,1.02804722222
9.9,-0.016464,0.206562222222,0.301236574074
9.95,-0.005488,0.1980825,-0.418745833333
10,0.004459,0.158446944444,-1.00301033951
10.05,0.0114905,0.090895,-1.4018537037
10.1,0.0142345,0.00762222222222,-1.53841851852
10.15,0.0121765,-0.0745072222222,-1.39529012346
10.2,0.006174,-0.141582777778,-1.01423194444
10.25,-0.003087,-0.182361666667,-0.468290277778
10.3,-0.013377,-0.190460277778,0.145192746914
10.35,-0.0231525,-0.169785,0.787735493827
10.4,-0.0320705,-0.109569444444,1.34579861111
10.45,-0.035329,-0.0223902777778,1.60135478395
10.5,-0.0344715,0.0684094444444,1.45616203704
10.55,-0.02744,0.136914166667,0.99168287037
10.6,-0.019208,0.170070833333,0.429120524691
10.65,-0.009604,0.178645833333,-0.128836728395
10.7,-0.0001715,0.157398888889,-0.67054382716
10.75,0.0073745,0.107473333333,-1.10347546296
10.8,0.011319,0.0388733333333,-1.3419875
10.85,0.0114905,-0.0359197222222,-1.35177993827
10.9,0.007546,-0.105758333333,-1.12549521605
10.95,0.0001715,-0.1569225,-0.693833950617
11,-0.009261,-0.1809325,-0.122379012346
11.05,-0.0193795,-0.169975555556,0.480252932099
11.1,-0.0272685,-0.131292777778,1.03641049383
11.15,-0.0337855,-0.0621211111111,1.4579087963
11.2,-0.0344715,0.0275352777778,1.56403765432
11.25,-0.03087,0.112523055556,1.26412438272
11.3,-0.0217805,0.166355,0.675307716049
11.35,-0.0125195,0.180551388889,0.0366290123457
11.4,-0.002744,0.166736111111,-0.541707098765
11.45,0.0053165,0.123575277778,-1.03021743827
11.5,0.010633,0.0568808333333,-1.34071712963
11.55,0.0114905,-0.0213422222222,-1.39248472222
11.6,0.008232,-0.0936580555556,-1.17228719136
11.65,0.001372,-0.147299444444,-0.739461419753
11.7,-0.0077175,-0.172262222222,-0.185527006173
11.75,-0.01715,-0.1654975,0.383545987654
11.8,-0.025039,-0.134246388889,0.936845216049
11.85,-0.0320705,-0.0697433333333,1.38745617284
11.9,-0.0334425,0.0219138888889,1.45997314815
11.95,-0.028812,0.0947061111111,1.13518179012
12,-0.022638,0.139105555556,0.673878549383
12.05,-0.0142345,0.162353333333,0.173987808642
12.1,-0.0053165,0.158065833333,-0.346705246914
12.15,0.002744,0.125957222222,-0.814572067901
12.2,0.008232,0.0706961111111,-1.13968101852
12.25,0.01029,0.00343,-1.25734907407
12.3,0.008575,-0.0640266666667,-1.15264938272
12.35,0.00343,-0.12005,-0.844055246914
12.4,-0.0042875,-0.154635833333,-0.384869290123
12.45,-0.0132055,-0.161495833333,0.152603240741
12.5,-0.021609,-0.138343333333,0.674090277778
12.55,-0.027783,-0.0933722222222,1.13904583333
12.6,-0.032585,-0.0160066666667,1.38989104938
12.65,-0.029498,0.0643125,1.2476625
12.7,-0.024696,0.117191666667,0.884442438272
12.75,-0.0173215,0.154540555556,0.431661265432
12.8,-0.008232,0.164925833333,-0.117350462963
12.85,0.0005145,0.143774166667,-0.673349228395
12.9,0.0073745,0.0929911111111,-1.11649675926
12.95,0.010633,0.0225808333333,-1.33298904321
13,0.0097755,-0.0515452777778,-1.28333873457
13.05,0.0049735,-0.115000277778,-0.999781481481
13.1,-0.0025725,-0.157303611111,-0.550917283951
13.15,-0.0114905,-0.177121388889,0.0509736111111
13.2,-0.0221235,-0.155683888889,0.709713580247
13.25,-0.0286405,-0.0975644444444,1.1834029321
13.3,-0.032242,-0.0266777777778,1.39566064815
13.35,-0.031899,0.0545941666667,1.30181203704
13.4,-0.0258965,0.11662,0.913396296296
13.45,-0.018865,0.148728611111,0.429067592593
13.5,-0.01029,0.159018611111,-0.0650006172839
13.55,-0.0018865,0.142249722222,-0.543718518519
13.6,0.0049735,0.101089722222,-0.930122839506
13.65,0.008918,0.0424938888889,-1.15513719136
13.7,0.0094325,-0.0220091666667,-1.18795509259
