"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
4.32,-0.005488,-0.0814625,0.527336033951
4.36,-0.008232,-0.0538319444444,0.729305073302
4.4,-0.009947,-0.0208420138889,0.852206790123
4.44,-0.0101185,0.0177454861111,0.867755594136
4.48,-0.0084035,0.0529982638889,0.752049334491
4.52,-0.0056595,0.0812243055556,0.534366078318
4.56,-0.0015435,0.0983743055556,0.239683159722
4.6,0.002744,0.100160763889,-0.06029296875
4.64,0.0066885,0.0930149305556,-0.347036072531
4.68,0.010633,0.0724111111111,-0.618974729938
4.72,0.0128625,0.0408503472222,-0.81060546875
4.76,0.014063,0.00381111111111,-0.890086323302
4.8,0.0132055,-0.0344190972222,-0.842133150077
4.84,0.0111475,-0.0674090277778,-0.67758048804
4.88,0.007546,-0.0918239583333,-0.428733458719
4.92,0.0032585,-0.101256458333,-0.201671296296
4.96,-0.0008575,-0.103019097222,-0.0804071662809
5,-0.0049735,-0.103138194444,-0.0250434992285
