"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.0492205,0.0851783333333,0.522069290123
0.1,0.052136,0.11533375,0.326617515432
0.15,0.059682,0.139200833333,-0.0975168055556
0.2,0.068257,0.121574444444,-0.775217052469
0.25,0.074088,0.0559280555556,-1.33777939815
0.3,0.0749455,-0.0347763888889,-1.39629583333
0.35,0.069972,-0.110426944444,-0.853424228395
0.4,0.06174,-0.136628333333,0.0653711419753
0.45,0.0536795,-0.102328333333,0.949972376543
0.5,0.0495635,-0.0231525,1.41011111111
0.55,0.0509355,0.0658369444444,1.24633919753
0.6,0.0574525,0.125099722222,0.538795833333
0.65,0.065856,0.129101388889,-0.390056635802
0.7,0.072716,0.0782230555556,-1.13989274691
0.75,0.075117,-0.0060025,-1.39894243827
0.8,0.07203,-0.0878461111111,-1.05382515432
0.85,0.0646555,-0.1311975,-0.253756481481
0.9,0.0564235,-0.1174775,0.647041975309
0.95,0.050764,-0.0539272222222,1.2603132716
1,0.050078,0.0319180555556,1.33129521605
1.05,0.054537,0.103948055556,0.829393055556
1.1,0.062426,0.130721111111,-0.0345646604938
1.15,0.0701435,0.0996605555556,-0.879255092593
1.2,0.0742595,0.0254391666667,-1.3290191358
1.25,0.073059,-0.0581194444444,-1.20272314815
1.3,0.0673995,-0.117001111111,-0.560762654321
1.35,0.0591675,-0.125099722222,0.330084567901
1.4,0.052479,-0.0779372222222,1.0803441358
1.45,0.0499065,0.00323944444444,1.36273688272
1.5,0.052822,0.0839397222222,1.05329583333
1.55,0.0598535,0.128625,0.281492901235
1.6,0.0680855,0.117858611111,-0.621052314815
1.65,0.0739165,0.0549752777778,-1.25809012346
1.7,0.0746025,-0.0317275,-1.34849814815
1.75,0.0701435,-0.104805555556,-0.859934876543
1.8,0.0622545,-0.134055833333,0.00486975308642
1.85,0.054194,-0.104900833333,0.878143518519
1.9,0.049735,-0.0294408333333,1.36644212963
1.95,0.050764,0.0577383333333,1.25708441358
2,0.056595,0.119764166667,0.603849382716
2.05,0.0649985,0.129577777778,-0.312722839506
2.1,0.07203,0.0824152777778,-1.08865447531
2.15,0.074774,-9.52777777776E-05,-1.38544475309
2.2,0.07203,-0.0827011111111,-1.0720337963
2.25,0.064827,-0.127386388889,-0.292449845679
2.3,0.056938,-0.117096388889,0.610042438272
2.35,0.0509355,-0.0559280555556,1.26290694444
2.4,0.050078,0.0330613888889,1.36395432099
2.45,0.05488,0.107568611111,0.84850154321
2.5,0.0629405,0.134246388889,-0.0449393518519
2.55,0.0708295,0.102233055556,-0.921759567901
2.6,0.075117,0.0250580555556,-1.40238302469
2.65,0.0739165,-0.0647888888889,-1.26640046296
2.7,0.0673995,-0.126338333333,-0.564785493827
2.75,0.0588245,-0.131769166667,0.381428703704
2.8,0.051793,-0.0807002777778,1.15730740741
2.85,0.0492205,0.00571666666667,1.42959012346
2.9,0.052479,0.0893705555556,1.07642716049
2.95,0.0598535,0.133865277778,0.251797993827
3,0.0684285,0.119383055556,-0.682718209877
3.05,0.074088,0.0522122222222,-1.30996358025
3.1,0.0746025,-0.0370630555556,-1.35262685185
3.15,0.069629,-0.108997777778,-0.798533641975
3.2,0.0615685,-0.131959722222,0.101259104938
3.25,0.053851,-0.0959447222222,0.938803703704
3.3,0.0502495,-0.0194366666667,1.3507742284
3.35,0.0516215,0.0641219444444,1.18049166667
3.4,0.0577955,0.120716944444,0.498937962963
3.45,0.0660275,0.123765833333,-0.403766049383
3.5,0.0725445,0.0724111111111,-1.12591867284
3.55,0.0746025,-0.0101947222222,-1.35574984568
3.6,0.071344,-0.0885130555556,-0.99771712963
3.65,0.064141,-0.129196666667,-0.198971759259
3.7,0.055909,-0.112427777778,0.689916975309
3.75,0.050764,-0.0465908333333,1.26872947531
3.8,0.050421,0.0386827777778,1.29085509259
3.85,0.0553945,0.106615833333,0.754917592593
3.9,0.063112,0.1277675,-0.0986125
3.95,0.0704865,0.0948966666667,-0.908208950617
4,0.074431,0.0201988888889,-1.32848981481
4.05,0.0728875,-0.0631691666667,-1.16932299383
4.1,0.066885,-0.118620833333,-0.504337037037
4.15,0.0588245,-0.122908333333,0.376929475309
4.2,0.0523075,-0.0742213888889,1.09887037037
4.25,0.0499065,0.00800333333333,1.33812345679
4.3,0.0533365,0.0855594444444,0.985066358025
4.35,0.0601965,0.124051666667,0.219668209877
4.4,0.067914,0.111093888889,-0.631850462963
4.45,0.073402,0.0498302777778,-1.22077299383
4.5,0.0739165,-0.0341094444444,-1.2774632716
4.55,0.069286,-0.102328333333,-0.774608333333
4.6,0.06174,-0.125861944444,0.0611365740741
4.65,0.0543655,-0.0950872222222,0.871103549383
4.7,0.050421,-0.0226761111111,1.30736990741
4.75,0.0516215,0.0604061111111,1.17711459877
4.8,0.057624,0.117001111111,0.551504830247
4.85,0.065513,0.122908333333,-0.24267779321
4.9,0.0722015,0.0818626666667,-0.804192083333
4.95,0.0746025,0.0214851388889,-0.993313179012
5,0.0715155,-0.0264872222222,-1.00688496914
